dimension,run,c,h,a,theta_h,theta_a,average edge weight,number of communites,modularity,range of avg comm. states,std. of avg comm.states
2,0,0.01,0.3,0.01,0.01,0.01,0.0,100,1,17.466859429357427,3.5953308360222618
2,0,0.01,0.3,0.1,0.01,0.01,0.0,100,1,15.366998193464923,3.150702771272883
2,0,0.01,0.1,0.01,0.01,0.01,0.0,100,1,14.860654071188849,3.2411654654398427
2,0,0.01,0.03,0.01,0.01,0.01,0.0,100,1,16.353644002034443,3.103740387409177
2,0,0.01,0.1,0.1,0.01,0.01,1.9118188523959467e-05,82,0.4822359785182355,18.531293393276226,3.550287603866788
2,0,0.03,0.01,0.1,0.01,0.01,4.532328445874952,3,0.01318541971603808,1.1895915642196417,0.5095118945238806
2,0,0.01,0.03,0.1,0.01,0.01,1.959240216555766,3,0.098717004925664,3.5560305862186925,1.4648001523819911
2,0,0.03,0.01,0.01,0.01,0.01,0.0031558796202420776,8,0.6017121188946937,4.144540819011079,1.3476726086875783
2,0,0.01,0.01,0.1,0.01,0.01,6.054553317041529,2,0.0209304669804799,1.855064809674379,0.9275324048371895
2,0,0.01,0.01,0.01,0.01,0.01,0.0014463136953839343,11,0.6624342164296119,7.774388211728102,2.0994272030208885
2,1,0.01,0.3,0.01,0.01,0.01,0.0,100,1,16.448118245996856,3.2729069409696105
2,1,0.01,0.3,0.1,0.01,0.01,0.0,100,1,16.151807175984864,3.2985198122283803
2,1,0.01,0.1,0.01,0.01,0.01,0.0,100,1,16.046571518451287,3.2562693503920537
2,1,0.01,0.03,0.01,0.01,0.01,0.0,100,1,18.12296990090489,3.5153875615431875
2,1,0.01,0.1,0.1,0.01,0.01,1.7654576615450897e-05,80,0.4824997688824488,19.323113701620336,3.4390867229393423
2,2,0.01,0.3,0.01,0.01,0.01,0.0,100,1,15.227341012232289,3.434750271936613
2,2,0.01,0.3,0.1,0.01,0.01,0.0,100,1,16.332556755999494,3.3373024424263544
2,1,0.03,0.01,0.1,0.01,0.01,4.013605998824423,3,0.013670569311912406,0.8614453929171496,0.3605921554977465
2,2,0.01,0.1,0.01,0.01,0.01,0.0,100,1,16.55160746937488,3.266630852040965
2,1,0.01,0.03,0.1,0.01,0.01,2.1262252105814436,3,0.09677983500176247,3.210610392198311,1.3817003473188345
2,1,0.03,0.01,0.01,0.01,0.01,0.0029462566798316983,11,0.6042076229590918,5.245337453365888,1.5711921250478469
2,1,0.01,0.01,0.1,0.01,0.01,5.675470615507768,2,0.025695403898984837,1.5328968616925307,0.7664484308462653
2,1,0.01,0.01,0.01,0.01,0.01,0.001317340214608061,12,0.6977984914753255,8.702554307451358,2.416463754811849
2,2,0.01,0.03,0.01,0.01,0.01,0.0,100,1,13.384410690895617,2.98680494312923
2,2,0.01,0.1,0.1,0.01,0.01,2.640812256511789e-06,95,2.220446049250313e-16,17.40941277141522,3.2101876464793344
2,3,0.01,0.3,0.01,0.01,0.01,0.0,100,1,14.054412467540724,2.910780809595122
2,3,0.01,0.3,0.1,0.01,0.01,0.0,100,1,19.26933037302985,3.554473341041125
2,3,0.01,0.1,0.01,0.01,0.01,0.0,100,1,19.8497706880168,3.5366332747475298
2,4,0.01,0.3,0.01,0.01,0.01,0.0,100,1,18.007145086756097,3.4542063373598197
2,4,0.01,0.3,0.1,0.01,0.01,0.0,100,1,13.82574939203128,3.065341345166452
