run,c,h,a,theta_h,theta_a,average edge weight,number of communites,modularity,range of avg comm. states,std. of avg comm.states
0,0.03,0.3,0.01,0.01,0.01,2.5887255218009126e-07,83,0.9109689591184488,18.91481359658477,3.4483081827170063
0,0.01,0.3,0.01,0.01,0.01,4.535678922170544e-07,79,0.9092680301672027,13.248990024859857,3.1563434509666437
0,0.01,0.3,0.1,0.01,0.01,4.366832288650642e-06,66,0.842651777337269,17.574218822030428,3.9157435751221636
0,0.03,0.3,0.1,0.01,0.01,5.827329707846122e-06,58,0.7468295714866585,15.437083731371459,3.4895504751925195
0,0.1,0.01,0.01,0.01,0.01,0.2984720397928924,3,0.08120523016321698,0.6070013630858708,0.26442293452185095
0,0.03,0.1,0.1,0.01,0.01,0.2275862047737917,3,0.24262049597488763,5.446029528217422,2.2299736862760398
0,0.03,0.01,0.01,0.01,0.01,0.26610007909817646,3,0.18151595266631546,2.6480700360900498,1.152161952908183
0,0.01,0.1,0.01,0.01,0.01,1.1801936420231115e-07,85,0.8437402924897756,15.27346938829464,3.002546634742811
0,0.01,0.01,0.1,0.01,0.01,12.772951012472078,2,0.008229391609639813,2.764921012302126,1.382460506151063
0,0.01,0.03,0.01,0.01,0.01,3.6819561959124373e-07,71,0.7395405831531957,13.908747457645816,3.6765929341073105
0,0.01,0.03,0.1,0.01,0.01,8.434434827418263,2,0.03443068982916475,2.822080944504307,1.4110404722521532
0,0.01,0.1,0.1,0.01,0.01,0.22877897612961745,2,0.20569791477533456,4.44384647668257,2.221923238341285
0,0.01,0.01,0.01,0.01,0.01,0.27068242565663725,3,0.1824719992350688,3.6441319497981755,1.5094547123521174
0,0.03,0.1,0.01,0.01,0.01,2.3682474977771698e-07,75,0.892421939765644,14.087446205353691,2.935458281569906
0,0.03,0.03,0.01,0.01,0.01,3.522810079766252e-07,62,0.8187109008507983,12.168859305876897,2.92075935295611
0,0.03,0.03,0.1,0.01,0.01,6.231027926459219,2,0.027903189386743132,0.6552667374322727,0.32763336871613635
1,0.03,0.3,0.01,0.01,0.01,2.7029361299828116e-07,87,0.8441595567859903,13.706142686829981,3.360431579885468
0,0.03,0.01,0.1,0.01,0.01,8.59705818888475,2,0.003361275523678209,0.1444918120043518,0.0722459060021759
1,0.01,0.3,0.01,0.01,0.01,2.690540812826154e-07,85,0.8696359295136051,14.162868848117894,3.7586445614816237
1,0.01,0.3,0.1,0.01,0.01,5.26327858518052e-06,66,0.7755568957813789,15.776216363499026,3.840010265391409
1,0.03,0.3,0.1,0.01,0.01,5.339243522262837e-06,59,0.8331069762773285,19.33300709599208,4.127891679322494
1,0.01,0.1,0.01,0.01,0.01,1.4816848711154188e-07,82,0.8872329500178485,21.533607892157598,3.7706475078856507
1,0.1,0.01,0.01,0.01,0.01,0.292633422486443,4,0.08265998729189089,0.9610721410360787,0.37495173819935174
1,0.03,0.1,0.1,0.01,0.01,0.19322186717076767,3,0.2444538724152818,4.394743209905229,1.8232293865586267
1,0.03,0.01,0.01,0.01,0.01,0.266398453770388,3,0.18866115858231985,2.367394913600135,0.9702509085756622
1,0.01,0.03,0.01,0.01,0.01,2.238773292593333e-07,77,0.8499457911369419,15.753022838563808,3.6490433224778944
1,0.01,0.01,0.1,0.01,0.01,12.599289860863362,2,0.00766431442638979,2.68776036866003,1.343880184330015
1,0.01,0.03,0.1,0.01,0.01,8.460629735468284,2,0.03339963670607629,2.837675766374465,1.4188378831872326
1,0.01,0.1,0.1,0.01,0.01,0.2204162407741077,2,0.23487971459057852,5.407353060547322,2.703676530273661
1,0.01,0.01,0.01,0.01,0.01,0.28081579386683475,2,0.18868722227386234,3.5396952449515897,1.7698476224757949
1,0.03,0.1,0.01,0.01,0.01,3.0592201350832684e-07,78,0.849294611024815,14.621187781807574,3.4738084243608722
2,0.03,0.3,0.01,0.01,0.01,3.266400352175547e-07,81,0.9112548985225801,18.33119126431157,3.3157979176235624
2,0.01,0.3,0.01,0.01,0.01,3.2001063996928543e-07,85,0.8681064459763644,18.864672796157535,3.69683646133975
1,0.03,0.03,0.01,0.01,0.01,3.42014911360576e-07,70,0.8329833551025926,14.124387194932504,3.358169940583508
2,0.03,0.3,0.1,0.01,0.01,2.7361758109703794e-06,72,0.8632684102194698,14.998793432086405,3.505454653567904
2,0.01,0.3,0.1,0.01,0.01,2.8692432425622604e-06,65,0.8652634635339568,15.063084983449402,4.094552495530643
1,0.03,0.03,0.1,0.01,0.01,6.271447680656505,2,0.03045451801573168,1.5473331577930605,0.7736665788965302
1,0.03,0.01,0.1,0.01,0.01,9.065299182283802,2,0.005091112169351181,0.8136663497134499,0.40683317485672493
2,0.01,0.1,0.01,0.01,0.01,1.2337704303633134e-07,83,0.7804567429881474,15.86385159813216,3.4271154074132504
2,0.1,0.01,0.01,0.01,0.01,0.3062082948523549,4,0.07272488833403008,0.685644751260595,0.2696962909065412
2,0.03,0.1,0.1,0.01,0.01,0.2130317705878199,3,0.22558008341404653,5.287784653730524,2.1900154967206245
2,0.03,0.01,0.01,0.01,0.01,0.26067731678593675,3,0.16549646919817718,2.6377685188668645,1.0940396325459758
2,0.03,0.1,0.01,0.01,0.01,2.3605815575842606e-07,74,0.8613359309988583,17.411337322233337,3.28395771554998
3,0.03,0.3,0.01,0.01,0.01,3.7305253697520895e-07,77,0.9040862949008018,21.825578113845,3.919454660489418
3,0.01,0.3,0.01,0.01,0.01,3.8135090655149507e-07,79,0.8956214553448631,16.975651518675626,3.5588976198987607
2,0.01,0.03,0.01,0.01,0.01,5.581801121691199e-07,65,0.7116212663609088,17.589979888884677,3.5298773922391447
2,0.01,0.01,0.1,0.01,0.01,12.050389206750802,2,0.007735399590670544,2.6916983302811763,1.3458491651405882
2,0.01,0.03,0.1,0.01,0.01,8.335565740368686,2,0.03514697903433042,2.6889667523590894,1.3444833761795447
2,0.01,0.1,0.1,0.01,0.01,0.22662027897142095,3,0.24219831338302863,5.287672996635997,2.1637766118803023
2,0.01,0.01,0.01,0.01,0.01,0.2762624458627912,3,0.21090134733716245,4.054914847635921,1.693842465159335
3,0.03,0.3,0.1,0.01,0.01,4.4165308382775865e-06,65,0.8059148231243127,15.946473383640388,3.7159143016702205
3,0.01,0.3,0.1,0.01,0.01,1.574749107173763e-06,76,0.8935130535103042,17.647005948829985,3.809280449939022
3,0.01,0.1,0.01,0.01,0.01,9.724800159220493e-08,82,0.8664197701840806,19.655906001001185,3.4824402763412152
2,0.03,0.03,0.01,0.01,0.01,3.1033826491188074e-07,67,0.8347475235359006,16.566354154672084,3.6143673971849615
2,0.03,0.03,0.1,0.01,0.01,6.038430520976503,2,0.02821491023899328,1.5860208545360417,0.7930104272680208
2,0.03,0.01,0.1,0.01,0.01,8.452558353280832,2,0.00468604732838096,0.5837718947437749,0.29188594737188744
3,0.1,0.01,0.01,0.01,0.01,0.2962110009602217,4,0.0734238289358756,0.62311299833123,0.24024826447330525
4,0.03,0.3,0.01,0.01,0.01,3.877806562319157e-07,82,0.9044714088776148,15.35000862283692,3.343588671522888
3,0.03,0.1,0.1,0.01,0.01,0.21849071284556842,2,0.24083214326215513,4.661877736455997,2.3309388682279986
4,0.01,0.3,0.01,0.01,0.01,3.033712067392876e-07,83,0.9004999994205447,16.03935292574084,3.555388098346753
3,0.03,0.1,0.01,0.01,0.01,1.6775121006417296e-07,80,0.87370370698123,17.272571286903656,3.5562156905956743
